Birdwatch,Claim Review
0.5182200982,0.5742870951
0.3278708686,0.2524724948
0.7857983378,0.7050029491
0.458274148,0.528235487
0.5044068845,0.4796495785
0.3015267323,0.8946566082
0.8211598332,0.396362779
0.4840292832,0.3950773171
0.2665178113,0.3790970576
0.4982902726,0.3855377061
0.2441577998,0.3494913925
0.4004307104,0.3868031536
0.2441577998,0.4620810738
0.5442647393,0.5100629463
0.3740966677,0.4931099298
0.3645783876,0.4045238207
0.3138303588,0.7679093919
0.3527029297,0.2845404459
0.24254811,0.8760130759
0.2250697253,0.3833937518
0.2966767105,0.3551147371
0.2401486052,0.3953942858
0.3336724162,0.4661328335
0.3365255851,0.3500312381
0.5447309852,0.5121414195
0.613136065,0.2632886698
0.6661366243,0.604882423
0.5370258319,0.476943055
0.6744174572,0.2811370542
0.2696107668,0.7735029282
0.3292201059,0.3772607378
0.5213282667,0.6129196253
0.3460475924,0.7951138453
0.5990854537,0.3904291554
0.349308856,0.3817807499
0.4871636034,0.7889561011
0.5828415745,0.5000852864
0.2188506192,0.4027981606
0.4584326089,0.7272637015
0.377040802,0.2926674694
0.361601756,0.5744434192
0.2441577998,0.7812742558
0.6853485825,0.6947440866
0.582392014,0.3880201256
0.7367368351,0.6036991495
0.3428357402,0.6173786598
0.6417871711,0.4194227935
0.278499392,0.4206578791
0.2441577998,0.3680884769
0.5136016109,0.4160763065
0.2603016224,0.2473835335
0.5337596099,0.3365031159
0.4887757676,0.3934917607
0.2522806538,0.2846613508
0.1963774204,0.3852840635
0.2441577998,0.4708602947
0.3796603896,0.4463135065
0.4608784614,0.5149877489
0.754282375,0.7204498555
0.3615057642,0.3595185603
0.5888375513,0.424046264
0.7729612518,0.5554500641
0.2441577998,0.2997162341
0.263361347,0.3818228509
0.7617867991,0.8632988573
0.2281146151,0.735774141
0.6967093138,0.5322494045
0.3778720035,0.8992791152
0.2441577998,0.1989125922
0.6255457662,0.3791293833
0.2441577998,0.7370541628
0.6098573496,0.5312876833
0.5199562793,0.8434724057
0.2441577998,0.4755266898
0.5344826963,0.3750445882
0.2441577998,0.4452724528
0.2800755424,0.381505282
0.3068780488,0.3572209131
0.6826620957,0.5286350641
0.6166496735,0.3898501559
0.3961039257,0.2666529093
0.1981595557,0.4124369975
0.2441577998,0.3097666419
0.2441577998,0.3959840569
0.6377128615,0.6446973278
0.5526782354,0.4612663777
0.6387186533,0.6213124979
0.4759887077,0.6812814144
0.2441577998,0.5863161808
,0.2857199179
0.2574335383,0.6754247647
0.5722010454,0.2481276409
0.4236530884,0.2492605157
0.7326948012,0.3872982219
0.5469953672,0.5785208579
0.6419163289,0.6634495727
0.1501500829,0.214869309
0.5127907004,0.3807041852
0.8356712153,0.2435402885
0.2493859423,0.4840078911
0.2621430303,0.68250606
0.4432561569,0.3803913647
0.664088548,0.4226264323
0.5805579354,0.5028452387
0.6660237126,0.3624804499
0.2647056022,0.2944852523
0.3647609568,0.3802325862
0.3780541524,0.6630104456
0.2461884319,0.4526739068
0.2057488987,0.4445930729
0.6517970437,0.7092124357
0.3893084677,0.4271537206
0.4115385703,0.2927655182
0.2519321014,0.3615047047
0.3219091992,0.2785334017
0.3020440658,0.3192057537
0.3123304103,0.2680920472
0.5672748661,0.5900054344
0.4884920146,0.5985317683
0.5257306739,0.6188875872
0.3742770443,0.6731628383
0.7905324853,0.2650772205
0.4070187817,0.3566261701
0.1677334681,0.2630535342
0.5735108352,0.3181864623
0.2441577998,0.5921329529
0.337151155,0.2887680926
0.3961768504,0.3441823105
0.6209378645,0.4032537228
0.2441577998,0.283340778
0.560014755,0.3556062802
0.2441577998,0.8395069946
0.1766701885,0.4146359532
0.4327387593,0.3835236138
0.2455621367,0.4724179513
0.5419441547,0.2188519336
0.2096615155,0.3031220342
0.4559433982,0.485685414
0.5891944299,0.4818036745
0.6594849567,0.6739772005
0.6525554375,0.8037095294
0.2733936132,0.4404315677
0.5540874152,0.4271453691
0.6123692916,0.8667877013
0.8810590241,0.8444873887
0.6362151381,0.3911299187
0.485627315,0.5390529091
0.2441577998,0.5064506496
0.5457725712,0.2892848827
0.6568244538,0.5811459282
0.4774127767,0.3720171515
0.2441577998,0.4430808112
0.3408652728,0.3030955897
0.2971720655,0.3561277034
0.4441729068,0.7442086614
0.6082438968,0.4120644273
0.3890486804,0.4036177482
0.4569103589,0.874776221
0.2995826904,0.7614001044
0.3414498273,0.4089258643
0.5158908486,0.6096417446
0.3484233126,0.4425186323
0.3277731613,0.7436000989
0.7474053174,0.3619034503
0.4477419761,0.4109680831
0.4654920476,0.3839200004
0.7487504522,0.3353007295
0.7842154525,0.2473532996
0.2441577998,0.309782905
0.214760949,0.6826921541
0.7153379243,0.3239538795
0.4612706318,0.3924422411
0.550628301,0.3733946672
0.5337434293,0.4328462259
0.2441577998,0.3934831375
0.3397437177,0.4612066399
0.1677477503,0.5056971507
0.6202580569,0.3590681563
0.426392086,0.6687696271
0.3759124909,0.4148474375
0.0918853318,0.7249006794
0.8122020009,0.4749151504
0.5696103562,0.4151004201
0.4834443337,0.5596352245
0.1456054668,0.5117794536
0.5023535939,0.3131520802
0.745234049,0.2638771512
0.2466198555,0.3446900907
0.4290270429,0.3498328925
0.7636227234,0.4229841804
0.5488731226,0.4342648931
0.6626524553,0.4797438636
0.6017873619,0.3386950313
0.680377378,0.8786566366
0.7368636922,0.2652530023
0.3081719071,0.563605478
0.6981978279,0.2286283878
0.6952284636,0.4002497985
0.2812518475,0.5651676553
0.7899862347,0.3941790649
,0.2482369115
0.4795952008,0.4233477202
0.8095869097,0.3262490597
0.3683026446,0.4674977092
0.2913145689,0.5134423671
0.6384730887,0.216900983
0.8216577727,0.4030849205
0.2441577998,0.4289032718
0.5401358317,0.5916846489
0.6596155523,0.4853598587
0.2441577998,0.4507349247
0.2726252242,0.8889838583
0.3854673393,0.713502
0.4140312368,0.7005973042
0.7009158621,0.2373712443
0.2388846646,0.7099757477
0.2849572424,0.3763298754
0.5517520888,0.4666711622
0.3451944561,0.4018383349
0.2202165819,0.8616962002
0.2977632962,0.2766947562
0.4875847855,0.2964169969
0.4671097533,0.3563834122
0.362161172,0.4496232518
0.5256819085,0.2547977573
0.7356921709,0.3188043756
0.4210365271,0.832498281
0.708491608,0.3546254839
0.5298795758,0.6211513278
0.2441577998,0.4141269079
0.5701658971,0.8599047506
0.3311319834,0.3848391912
0.2441577998,0.4343801298
0.6051164411,0.4408995129
0.2238717322,0.2821945781
0.2674730436,0.3457753258
0.3048683341,0.2880115876
0.2441577998,0.3456638762
0.5832646091,0.4589528322
0.3854552144,0.444823992
0.8763352612,0.3107146313
0.3401618762,0.5690358007
0.6853386771,0.4381558872
0.3770682639,0.6056252811
0.2441577998,0.3474338762
0.2519171002,0.3404701385
0.2781751921,0.3915818868
0.6924919099,0.3221851708
0.2364401865,0.3982231651
0.4927280735,0.6781779712
0.3810619666,0.4220242831
,0.1690979015
0.1329259163,0.4152371946
0.4463514534,0.3031141116
0.6232908225,0.6688701128
0.335328993,0.3542646753
0.4420332061,0.6449772917
0.5324410032,0.3899663303
0.3131088701,0.4397649037
0.7988193434,0.3561392742
0.785951794,0.2961293337
0.2585590483,0.4049199823
0.4546820848,0.7795044851
0.5631779316,0.316523135
0.5260282777,0.4303012173
0.6821195372,0.6614548557
0.3115512573,0.4245734692
,0.3869857588
,0.361164238
0.779674586,0.5450354108
0.2969603725,0.6040004873
0.7141280654,0.5857915836
0.7539158474,0.3131087176
0.5983510321,0.8071182164
0.1934508206,0.2462088898
0.191549893,0.3890238742
0.3753578738,0.3433469526
0.4557738039,0.6579849366
0.7499822412,0.400386923
0.4257839808,0.4418905476
0.0778590307,0.2282996451
0.6700761804,0.380207935
0.6136977334,0.3934831375
0.5038529411,0.4156792926
0.4472478371,0.4050355816
0.5687635433,0.3602532726
0.5259407816,0.2949623741
0.3208510923,0.4733454255
0.4045637611,0.3050216506
0.3374143668,0.543846914
0.6050013531,0.7174453613
0.7168260493,0.4068294531
0.3883706006,0.3607938854
0.5898000412,0.3931248017
0.3422075768,0.8884115352
0.8221389014,0.359099847
0.7060756848,0.368027546
0.1758215028,0.3783666968
0.4961620855,0.318138427
0.5263270729,0.3600742007
0.5900195666,0.8759629248
0.6111437017,0.4621596202
0.272225333,0.3855848627
0.3626049596,0.6584100757
0.4213832346,0.5026462107
0.6961338616,0.3903194927
0.5407591419,0.3646083478
0.789559205,0.3280322414
0.1285088859,0.4507413696
0.6624243659,0.5586067091
0.7405873262,0.461670543
0.5105665303,0.4045433657
0.6395253042,0.864783689
0.3884429162,0.3907269367
0.317869973,0.4425518156
